,SPY,XLC,XLY,XLP,XLE,XLF,XLV,XLI,XLB,XLRE,XLK,XLU
2016-12-01,219.57,,81.89,50.25,74.61,22.9,68.25,62.82,49.96,29.55,46.52,46.38
2016-12-02,219.68,,81.44,50.57,74.83,22.65,68.41,62.81,49.98,29.83,46.69,46.8
2016-12-05,221.0,,82.33,50.63,75.49,22.92,68.29,62.76,50.37,30.07,47.14,46.86
2016-12-06,221.7,,82.52,50.78,75.35,23.12,68.48,62.88,50.43,30.2,47.28,46.77
2016-12-07,224.6,,84.12,51.51,75.95,23.48,67.89,64.05,51.15,30.83,48.18,47.38
2016-12-08,225.15,,84.12,51.3,76.36,23.7,68.02,63.69,51.49,30.99,48.3,47.46
2016-12-09,226.51,,84.31,52.04,76.6,23.75,68.85,63.98,51.5,30.97,48.65,47.96
2016-12-12,226.25,,83.61,52.25,76.96,23.52,69.18,63.75,51.27,31.29,48.5,48.46
2016-12-13,227.76,,84.36,52.49,77.83,23.58,69.74,63.66,51.19,31.37,49.11,48.96
2016-12-14,225.88,,83.79,51.92,76.27,23.47,69.38,63.02,50.58,30.82,48.94,47.95
2016-12-15,226.81,,83.59,52.14,76.44,23.67,69.83,63.09,50.91,30.57,49.16,48.29
2016-12-16,225.04,,82.69,52.05,76.51,23.36,69.58,62.58,50.42,30.44,48.59,48.41
2016-12-19,225.53,,82.91,52.15,76.16,23.37,69.29,62.93,50.32,30.71,48.94,48.59
2016-12-20,226.4,,83.57,52.05,75.99,23.66,69.24,63.29,50.36,30.73,49.12,48.65
2016-12-21,225.77,,83.53,52.04,76.11,23.6,68.85,63.05,50.38,30.34,49.02,48.45
2016-12-22,225.38,,82.63,51.96,76.42,23.54,68.94,62.93,50.17,30.3,48.92,48.62
2016-12-23,225.71,,82.45,52.06,76.35,23.58,69.46,62.99,50.27,30.33,48.97,48.61
2016-12-27,226.27,,82.77,52.05,76.52,23.61,69.6,63.12,50.54,30.41,49.17,48.65
2016-12-28,224.4,,82.2,51.73,75.69,23.37,69.07,62.46,50.03,30.18,48.73,48.19
2016-12-29,224.35,,82.09,51.97,75.54,23.2,69.19,62.44,50.03,30.46,48.74,48.84
2016-12-30,223.53,,81.4,51.71,75.32,23.25,68.94,62.22,49.7,30.75,48.36,48.57
2017-01-03,225.24,,81.88,51.9,76.17,23.51,69.84,62.59,49.99,30.85,48.79,48.45
